id;autor;titulo;jornal;volume;paginas;ano;evento;endereco;note;venue;editor;tipo;instituicao;mes
431; Herzog, M.H. & Fahle, M. ; A recurrent model for learning a hyperacuity task. ; Perception, ;24;NULL;1995;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
432; Hoehfeld, M. and Fahlman, S. E. ; Learning with limited numerical precision using the cascade-correlation algorithm. ;NULL;NULL;NULL; 1991. ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; Preprint, ; School of Computer Science, Carnegie-Mellon University, ;NULL
433; M. H. Hoehfeld and S. Fahlman. ; Learning with Limited Numerical Precision Using the Cascade-Correlation Algorithm. ; IEEE Transactions on Neural Networks, ; vol 3 no 4 ;NULL; July ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
434; Knoop, J. and Steffen, B., ; The interprocedural coincidence theorem, ;NULL; Vol 641; pp  125-140; October 5-7 ; Pfahler,Springer-Verlag, ; Paderborn FRG, ; Lecture Notes in Computer Science,; in Proceedings of the Fourth International Conference on Compiler Construction ; U. Kastens and P. ed. ;NULL;NULL;NULL
178; S. E. Fahlman. ; An empirical study of learning speed in back propagation networks. ;NULL;NULL;NULL; 1988. ;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-88-162, Carnegie-Mellon Universtity Technical Report, ;NULL;NULL
179; S.E. Fahlman. ; An empirical study of learning speed in back-propagation networks. ;NULL;NULL;NULL; June ;NULL;NULL;NULL;NULL;NULL; Tech Report CMU-CS-88-162, ;NULL;NULL
180; Fahlman, S.E. ; An empirical study of learning speed in backpropagation networks, ;NULL;NULL;NULL; 1988. ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; Carnegie Mellon University, ;NULL
181; S. Fahlman, ;" ""An Empirical Study of Learning Speed in Back-Propagation Networks,"" ";NULL;NULL;NULL; June ;NULL;NULL;NULL;NULL;NULL; CMU Tech Report CMU-CS-88-162, ;NULL;NULL
182; S. E. Fahlman, ;" ""An Empirical Study of Learning Speed in Back-propagation Networks"", ";NULL;NULL;NULL;1988;NULL;NULL;NULL;NULL;NULL; CMU-CS-88-162; Carnegie-Mellon Computer Science Rpt.;NULL
183; Fahlman, S.E., ;" ""An empirical study of learning speed in back-propagation networks"", ";NULL;NULL;NULL; 1988. ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; Report CMU-CS-88-182, ; Carnegie-Mellon University, ;NULL
184; S. E. Fahlman. ; An empirical study of learning speed in backpropagation networks. ;NULL;NULL;NULL; 1988. ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; Carnegie-Mellon University, ;NULL
185; Scott E. Fahlman. ; An empirical study of learning speed in back-propagation networks. ;NULL;NULL;NULL; September ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; School of Computer Science, Carnegie Mellon University, ;NULL
186; S. E. Fahlman, ; of Learning Speed in Back-Propagation Networks, ;NULL;NULL;NULL;1988;NULL;NULL;NULL;NULL;NULL;CMU-CS-88-162. ;NULL;NULL
187; Fahlman, Scott E. ;" ""An Empirical Study of Learning Speed in Back-Propagation Networks."" ";NULL;NULL;NULL; 1988. ;NULL; Pittsburgh, PA. ;NULL;NULL;NULL; Technical Report CMU-CS-88-162. ; Computer Science Department, Carnegie Mellon University, ;NULL
188; Fahlman, Scott E., ;" ""An Empirical Study of Learnin g Speed in BackPropagation Networks"",Technical Report CMU-CS-88-162, ";NULL;NULL;NULL; 1988. ;NULL;Pittsburgh, PA, ;NULL;NULL;NULL;NULL; Carnegie Mellon University, Computer Science Department;NULL
189; Scott Fahlman, ;" ""An Empirical Study of Learning Speed in BackPropagation Networks,"" ";NULL;NULL;NULL; June ;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; Department of Computer Science, Carnegie Mellon University, ;NULL
190; Scott Fahlman, ;" ""An Empirical Study of Learning Speed in BackPropagation Networks,"" ";NULL;NULL;NULL; June ;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; Department of Computer Science, Carnegie Mellon University, ;NULL
191; Scott Fahlman, ;" ""An Empirical Study of Learning Speed in BackPropagation Networks,"" ";NULL;NULL;NULL; June ;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-88-162, ; Department of Computer Science, Carnegie Mellon University, ;NULL
192; Fahlman, S.E. and Lebiere, C., ; The Cascade-Correlation Learning Architecture, ;NULL;NULL;NULL; 1991. ;NULL;Pittsburgh, PA:;NULL;NULL;NULL; (typenical report), CMU-CS-90-100,; Carnegie-Mellon University, ;NULL
193; S.E. Fahlman and C. Lebiere: ; The Cascade-Correlation Learning Architecture, ;NULL;NULL;NULL; 1991. ;NULL; Pittsburgh, PA:;NULL;NULL;NULL; (typenical report), CMU-CS-90-100,; Carnegie-Mellon University, ;NULL
194; S.E. Fahlman and C. Lebiere: ; The Cascade-Correlation Learning Architecture, ;NULL;NULL;NULL; 1991. ;NULL; Pittsburgh, PA: ;NULL;NULL;NULL; (typenical report),  CMU-CS-90-100,;Carnegie-Mellon University, ;NULL
195; Fahlman, S. E. & Lebiere, C. ; The Cascade-Correlation learning architec ture, ;NULL;NULL;NULL;1990;NULL; Pittsburgh, PA 15213. ;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; School of Computer Science, Carnegie Mellon University, ;NULL
196; Fahlman, S. E. & Lebiere, C. ; The Cascade-Correlation learning architecture, ;NULL;NULL;NULL;1990;NULL; Pittsburgh, PA 15213. ;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; School of Computer Science, Carnegie Mellon University, ;NULL
197; Fahlman, S. E. and Lebiere,C. ; The cascade-correlation learning architecture. ;NULL;NULL;NULL;1990;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-90-100. ; Carnegie-Mellon Universtity. ;NULL
198; Fahlman, S. E. and Lebiere, C. ; The Cascade-Correlation learning architecture. ;NULL;NULL;NULL;1990;NULL; Pittsburgh, PA 15213. ;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; School of Computer Science, Carnegie Mellon University, ;NULL
199; Fahlman, S. E. and Lebiere, C. ; The Cascade-Correlation learning architecture. ;NULL;NULL;NULL;1990;NULL; Pittsburgh, PA. ;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; School of Computer Science, Carnegie Mellon University, ;NULL
200; Fahlman, S. E. and Lebiere, C. ; The Cascade-correlation Learning Architecture. ;NULL;NULL;NULL;1990;NULL; Pittsburgh, PA. ;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; School of Computer Science, Carnegie-Mellon University, ;NULL
201; Fahlman, S. E. and Lebiere, C. ; The Cascade-correlation Learning Architecture. ;NULL;NULL;NULL;1990;NULL; Pittsburgh, PA. ;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; School of Computer Science, Carnegie-Mellon University, ;NULL
202; Fahlman, S. E., & Lebiere, C. ; Cascade-correlation learning architecture  ;NULL;NULL;NULL;1989;NULL;Pittsburgh, PA: ;NULL;NULL;NULL;Technical rep. CMU-CS-90-100).;Carnegie Mellon University, Computer Science Department. ;NULL
203; Fahlman, S. E., & Lebiere, C. ; Cascade-correlation learning architecture  ;NULL;NULL;NULL;1989;NULL;Pittsburgh, PA:;NULL;NULL;NULL;Technical rep. CMU-CS-90-100). ; Carnegie Mellon University, Computer Science Department. ;NULL
204; Fahlman, S. E., & Lebiere, C. ; Cascade-correlation learning architecture  ;NULL;NULL;NULL;1989;NULL;Pittsburgh, PA:;NULL;NULL;NULL;Tech. rep.  CMU-CS-90-100). ; Carnegie Mellon University, Computer Science Department. ;NULL
205; Fahlman, S., and Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;NULL;NULL;1990;NULL; Pittsburgh. ;NULL;NULL;NULL; Technical Report CMU CS-90-100, ; Carnegie Mellon University,;NULL
206; Fahlman, S., and Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;NULL;NULL;1990;NULL; Pittsburgh. ;NULL;NULL;NULL; Technical Report CMU CS-90-100, ; Carnegie Mellon University,;NULL
207; S. E. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture. ;NULL;NULL;NULL; 1990. ;NULL; Pitts-burgh,PA ;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; School of Computer Science, Carnegie-Mellon University,;NULL
208; Fahlman S. E., Lebiere C., ; The cascade-correlation learning architecture, ;NULL;NULL;NULL; 1990. ;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; Carnegie Mellon University, ;NULL
209; Fahlman, S. and Lebiere, C. ; The Cascade-Correlation Learning Architecture. ;NULL;NULL;NULL;1990;NULL; Pittsburgh, PA 15213. ;NULL;NULL;NULL; CMU-CS-90-100, ; School of Computer Science, Carnegie-Mellon University, ;NULL
210; S. E. Fahlman and C. Lebiere, ; The Cascade-Correlation learning architecture, ;NULL;NULL;NULL; 1990. ;NULL; Pittsburgh, PA 15213, ;NULL;NULL;NULL; Tech. Rep.  CMU-CS-90-100, ;School of Computer Science, Carnegie Mellon University, ;NULL
211; S. E. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture. ;NULL;NULL;NULL; 1990. ;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; Carnegie Mellon University, ;NULL
212; S. E. Fahlman and C. Lebiere, ;" ""The Cascade-Correlation Learning Architecture"", ";NULL;NULL;NULL;1990;NULL;NULL;NULL;NULL;NULL; Technical Report:  CMU-CS-90-100, ;NULL;NULL
213; Fahlman, S. and Lebiere, C. ; The Cascade-Correlation Learning Architecture. ;NULL;NULL;NULL;1990;NULL; Pittsburgh, PA 15213. ;NULL;NULL;NULL; CMU-CS-90-100, ; School of Computer Science, Carnegie-Mellon University, ;NULL
214; Scott E. Fahlman and Christian Lebiere. ; The Cascade-Correlation learning architecture. ;NULL;NULL;NULL; February ;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; Carnegie Mellon University, School of Computer Science, ;NULL
215; Fahlman, S. E., and Lebiere, C. ; The Cascade-Correlation learning architecture. ;NULL;NULL;NULL; Feb. ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; Tech. Rep.  CMU-CS-90-100, ;School of Computer Science, Carnegie Mellon University, ;NULL
216; Fahlman, S. E., and Lebiere, C. ; The Cascade-Correlation learning architecture. ;NULL;NULL;NULL; Feb. ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; Tech. Rep.  CMU-CS-90-100, ;School of Computer Science, Carnegie Mellon University, ;NULL
217; Fahlman, S. E., and Lebiere, C. ; The Cascade-Correlation learning architecture. ;NULL;NULL;NULL; Feb. ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; Tech. Rep.  CMU-CS-90-100,; School of Computer Science, Carnegie Mellon University, ;NULL
218; Fahlman, S. E., and Lebiere, C. ; The Cascade-Correlation learning architecture. ;NULL;NULL;NULL; Feb. ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; Tech. Rep.  CMU-CS-90-100, ;School of Computer Science, Carnegie Mellon University, ;NULL
219; Fahlman, S. E., and Lebiere, C. ; The Cascade-Correlation learning architecture. ;NULL;NULL;NULL; Feb. ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; Tech. Rep.  CMU-CS-90-100, ;School of Computer Science, Carnegie Mellon University, ;NULL
220; S.E. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture. ;NULL;NULL;NULL; 1990. ;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; Carnegie Mellon University, ;NULL
221; S. E. Fahlman and C. Lebiere, ; The Cascade-Correlation Learning Architecture, ;NULL;NULL;NULL; 1991. ;NULL;NULL;NULL;NULL;NULL; Technical Report,  CMU-CS-TR-91-100,;Carnegie Mellon University, ;NULL
222; S. E. Fahlman and C. Lebiere, ; The Cascade-Correlation Learning Architecture, ;NULL;NULL;NULL; 1991. ;NULL;NULL;NULL;NULL;NULL; Technical Report, CMU-CS-TR-91-100,;Carnegie Mellon University, ;NULL
223; Fahlman, S., Lebiere, C.: ; The Cascade-Correlation Learning Architecture, ;NULL;NULL;NULL; August ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; Carnegie Mellon University, ;NULL
224; S. Fahlman and C. Lebiere, ; The casade-correlation learning architecture, ;NULL;NULL;NULL; Feb ;NULL;NULL;NULL;NULL;NULL; Tech. Report CMU-CS-90-100, ; Carnegie Mellon University, School of Computer Science, ;NULL
225; S. E. Fahlman and C. Lebiere, ;" ""The Cascade Correlation Learning Architecture"", ";NULL;NULL;NULL;1990;NULL;NULL;NULL;NULL;NULL;Rpt. CMU-CS-90-100 ; Carnegie Mellon Computer Science ;NULL
226; Fahlman, S. E. and Lebiere, C. ;The Cascade-Correlation Learning Architecture. ;NULL;NULL;NULL;1990;NULL; Pittsburgh, PA. ;NULL;NULL;NULL; Technical Report #CMU-CS-90-100, ; School of Computer Science, Carnegie Mellon University, ;NULL
227; Fahlman, S. and Lebiere, C. ;" ""The Cascade-Correlation Learning Architecture"". ";NULL;NULL;NULL;1990;NULL;NULL;NULL;NULL;NULL; Carnegie-Mellon Report CMU-CS-90-100, ;NULL;NULL
228; Fahlman, S. and Lebiere, C. ; The Cascade-Correlation Learning Architecture. ;NULL;NULL;NULL;1990;NULL; Pittsburgh, PA 15213. ;NULL;NULL;NULL; CMU-CS-90-100, ; School of Computer Science, Carnegie-Mellon University, ;NULL
229; Scott E. Fahlman and Christian Lebiere. ; The cascade-correlation learning architecture. ;NULL;NULL;NULL; February ;NULL; Pittsburgh, PA 15213, ;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; School of Computer Science, Carnegie Mellon University, ;NULL
230; S. E. Fahlman and Christian Lebiere. ; The cascade-correlation learning architecture. ;NULL;NULL;NULL; February ;NULL; Pittsburgh, PA 15213, ;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; School of Computer Science, Carnegie Mellon University, ;NULL
231; S. Fahlman and C. Lebiere, ;" ""The Cascade-Correlation Learning Architecture,"" ";NULL;NULL;NULL; February ;NULL;NULL;NULL;NULL;NULL; CMU Tech Report CMU-CS-90-100, ;NULL;NULL
232; Fahlman, S. and Lebiere, C. ; The Cascade-Correlation Learning Architecture. ;NULL;NULL;NULL;1990;NULL; Pittsburgh, PA 15213. ;NULL;NULL;NULL; CMU-CS-90-100, ; School of Computer Science, Carnegie-Mellon University, ;NULL
233; Fahlman, S. and Lebiere, C. ; The Cascade-Correlation Learning Architecture. ;NULL;NULL;NULL;1990;NULL; Pittsburgh, PA 15213. ;NULL;NULL;NULL; CMU-CS-90-100, ; School of Computer Science, Carnegie-Mellon University, ;NULL
234; Fahlman, S. and Lebiere, C. ; The Cascade-Correlation Learning Architecture. ;NULL;NULL;NULL;1990;NULL; Pittsburgh, PA 15213. ;NULL;NULL;NULL; CMU-CS-90-100, ; School of Computer Science, Carnegie-Mellon University, ;NULL
235; S. Fahlman and C. Lebiere, ;" ""The cascade-correlation learning architecture,"" ";NULL;NULL;NULL; February ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; Tech. Rep.  CMU-CS-90-100,; School of Computer Science, Carnegie-Mellon University, ;NULL
236; S.E. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture. ;NULL;NULL;NULL; August ;NULL; Pittsburgh, PA 15213, ;NULL;NULL;NULL; Technical report, ; School of Computer Science Carnegie Mellon University, ;NULL
237; Fahlman, S. and Lebiere, C. ; The Cascade-Correlation Learning Architecture. ;NULL;NULL;NULL;1990;NULL; Pittsburgh, PA 15213. ;NULL;NULL;NULL; CMU-CS-90-100, ; School of Computer Science, Carnegie-Mellon University, ;NULL
238; S. E. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture. ;NULL;NULL;NULL; 1990. ;NULL;NULL;NULL;NULL;NULL; Cmu-cs-90-100, ; Carnegie Mellon University, ;NULL
239; S. E. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture. ;NULL;NULL;NULL; 1990. ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; School of Computer Science, Carnegie-Mellon University, ;NULL
240; S. E. Fahlman and C. Lebiere. ; The cascade-correlation learning architecture. ;NULL;NULL;NULL; 1990. ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; School of Computer Science, Carnegie-Mellon University, ;NULL
241; Scott E. Fahlman and Christian Lebiere. ; The Cascade-Correlation learning architecture. ;NULL;NULL;NULL; February ;NULL; Pittsburgh, PA, ;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; School of Computer Science, Carnegie Mellon University, ;NULL
242; Fahlman, S. E. & Lebiere, C. ; The Cascade-correlation Learning Architecture. ;NULL;NULL;NULL;1990;NULL; Pittsburgh, PA. ;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; School of Computer Science, Carnegie-Mellon University, ;NULL
243; Fahlman, Scott E., and Lebiere, ;" Christi an, ""The Cascade--Correlation Learning Architecture"", ";NULL;NULL;NULL; 1991. ;NULL;Pittsburgh, PA, ;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; Carnegie Mellon University, Computer Science Department,;NULL
244; Fahlman, S. E. and Lebiere, C., ; The Cascade-Correlation Learning Architecture, ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-90-100. ;NULL;NULL
245; Fahlman, S. E. and Lebiere, C., ; The Cascade-Correlation Learning Architecture, ;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-90-100. ;NULL;NULL
246; S.E. Fahlman, C. Lebiere, ;" ""The cascade-correlation learning algorithm"", ";NULL;NULL;NULL; 1990. ;NULL;NULL;NULL;NULL;NULL; Technical Report CMU-CS-90-100, ; Carnegie Mel-lon University, ;NULL
247; S.E. Fahlman and C. Lebiere, ; The cascade-correlation learning architecture, ;NULL;NULL; 524-532 ;1990; Morgan Kauffman, ; San Mateo, CA: ;NULL; Advances in Neural Information Processing 2 ; D.S. Touretzky,Ed. ;NULL;NULL;NULL
248; Scott E. Fahlman and Christian Lebiere. ; The Cascade-Correlation learning architecture. ;NULL;NULL; pages 524-532 ; 1990. ;NULL;NULL;NULL; In  ;NULL;NULL;NULL;NULL
249; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;NULL; (pp 524-532) ;1989; Morgan Kaufmann. ; San Mateo, CA. ;NULL; Advances in Neural Information Processing Systems (volume 2) ; In Touretzky, D., editor, ;NULL;NULL;NULL
250; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;NULL; (pp 524-532) ;1989; Morgan Kaufmann. ; San Mateo, CA. ;NULL; Advances in Neural Information Processing Systems (volume 2) ; In Touretzky, D., editor, ;NULL;NULL;NULL
251; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;NULL; (pp 524-532) ;1989; Morgan Kaufmann. ; San Mateo, CA. ;NULL; Advances in Neural Information Processing Systems (volume 2) ; In Touretzky, D., editor, ;NULL;NULL;NULL
252; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;NULL; (pp 524-532) ;1989; Morgan Kaufmann. ; San Mateo, CA. ;NULL; Advances in Neural Information Processing Systems (volume 2) ; In Touretzky, D., editor, ;NULL;NULL;NULL
253; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;NULL; (pp 524-532) ;1989; Morgan Kaufmann. ; San Mateo, CA. ;NULL; Advances in Neural Information Processing Systems (volume 2) ; In Touretzky, D., editor, ;NULL;NULL;NULL
254; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;NULL; (pp 524-532) ;1989; Morgan Kaufmann. ; San Mateo, CA. ;NULL; Advances in Neural Information Processing Systems (volume 2) ; In Touretzky, D., editor, ;NULL;NULL;NULL
255; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;NULL; (pp 524-532) ;1989; Morgan Kaufmann. ; San Mateo, CA. ;NULL; Advances in Neural Information Processing Systems (volume 2) ; In Touretzky, D., editor, ;NULL;NULL;NULL
256; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;NULL; (pp 524-532) ;1989; Morgan Kaufmann. ; San Mateo, CA. ;NULL; Advances in Neural Information Processing Systems (volume 2) ; In Touretzky, D., editor, ;NULL;NULL;NULL
257; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;NULL; (pp 524-532) ;1989; Morgan Kaufmann. ; San Mateo, CA. ;NULL; Advances in Neural Information Processing Systems (volume 2) ; In Touretzky, D., editor, ;NULL;NULL;NULL
258; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;NULL;NULL;1989; Morgan Kaufmann, ; San Ma-teo, CA. ;NULL; Advances in Neural Information Processing Systems (volume 2). ; In Touretzky, D., editor, ;NULL;NULL;NULL
259; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;NULL;NULL;1989; Morgan Kaufmann, ; San Ma-teo, CA. ;NULL; Advances in Neural Information Processing Systems (volume 2). ; In Touretzky, D., editor, ;NULL;NULL;NULL
260; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture,. ;NULL;NULL;NULL;1990; Morgan Kaufmann, ; Palo Alto, CA. ;NULL; Advances in Neural Information Processing Systems (volume 2). ; In Touretzky, D., editor, ;NULL;NULL;NULL
261; Fahlman, S. E & C. ; Lebiere (1990), The Cascade-Correlation Learning Architecture, ;NULL;NULL; pp 524-532 ;NULL; Morgan Kaufmann, ; San Mateo, ;NULL; in Advances in Neural Information Processing Systems 2 ; D.S. Touretzky, ed., ;NULL;NULL;NULL
262; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;NULL; 2) (pp 524-532) ;1989; Morgan Kaufmann. ; Denver, CO: ;NULL; Advances in Neural Information Processing Systems (Vol. ;NULL;NULL;NULL;NULL
263; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;NULL; (pp 524-532) ;1989; Morgan Kaufmann. ; San Mateo, CA. ;NULL; Advances in Neural Information Processing Systems (volume 2) ; In Touretzky, D., editor, ;NULL;NULL;NULL
264; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture, ;NULL; Vol 2 ;NULL;1990; Morgan Kaufmann. ;NULL;NULL;" ""Advances in Neural Information Processing Systems"""; in D. Touret-zky, ed., ;NULL;NULL;NULL
265; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture, ;NULL; Vol 2 ;NULL;1990; Morgan Kaufmann. ;NULL;NULL; Advances in Neural Information Processing Systems  ; in D. Touretsky, ed., ;NULL;NULL;NULL
266; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture, ;NULL; Vol 2 ;NULL;1990; Morgan Kaufmann. ;NULL;NULL;" ""Advances in Neural Information Processing Systems""  "; in D. Touretzky, ed., ;NULL;NULL;NULL
267; Fahlman, S. E & Lebiere, C. ; The cascade correlation architecture.;NULL; Volume 2;(pp  524532) ;1990;NULL;NULL;NULL; In Advances in Neural Information Processing Systems ;NULL;NULL;NULL;NULL
268; Fahlman, S. E & Lebiere, C. ; The cascade correlation architecture. ;NULL; Volume 2 ;(pp  524532) ;1990;NULL;NULL;NULL;In Advances in Neural Information Processing Systems ;NULL;NULL;NULL;NULL
269; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL; volume 2 ; pages 524-532 ; 1989. ; CO. Morgan Kaufmann. ; Denver, ;NULL; In Advances in Neural Information Processing Systems ;NULL;NULL;NULL;NULL
270; Fahlman, S. E. and Lebiere, C. ; The cascade-correlation learning architecture.;NULL; vol 2 ; pp 524-532 ;1990; Morgan Kaufmann. ;NULL;NULL; In Advances in Neural Information Processing Systems ; Touretzky, D. S. ed. ;NULL;NULL;NULL
271; Fahlman, S. E. and Lebiere, C. ; The Cascade Correlation Learning Architecture. ;NULL;2; pp 524-532 ;1990; Morgan-Kauffman, ;NULL;NULL; In Neural Information Processing Systems; Touretzky, D. S. (ed). ;NULL;NULL;NULL
272; Fahlman, S. E. and Lebiere, C. ; The Cascade Correlation Learning Architecture. ;NULL;2; pp 524-532 ;1990; Morgan-Kauffman, ;NULL;NULL; In Neural Information Processing Systems ; Touretzky, D. S. (ed). ;NULL;NULL;NULL
273; Fahlman, S. E. and Lebiere, C. ; The cascade-correlation architecture. ;NULL;2; pages 524 532 ;1990; Morgan Kaufmann. ;NULL;NULL; Advances in Neural Information Processing Structures ; In Touretzky, D. S., editor, ;NULL;NULL;NULL
274; Fahlman, S. E. and Lebiere, C. ; The cascade-correlation architecture. ;NULL;2; pages 524 532 ;1990; Morgan Kaufmann. ;NULL;NULL; Advances in Neural Information Processing Structures; In Touretzky, D. S., editor, ;NULL;NULL;NULL
275; Fahlman, S. E. and Lebiere, C. ; The cascade-correlation learning algorithm. ;NULL;2; pages 525-532 ;1990; Morgan Kaufmann. ; San Mateo, CA: ;NULL; Advances in Neural Information Processing Systems ; In Touretzky, D. S., editor, ;NULL;NULL;NULL
276; Fahlman, S. E. and Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;2;NULL;1990; Morgan Kauffman. ;NULL;NULL; Advances in Neural Information Processing Systems ; In Touretzky (Ed.), ;NULL;NULL;NULL
277; Fahlman, S. E & Lebiere, C. ; The Cascade Correlaion Learning Architecture. ;NULL;NULL;pages 524-532 ;1990;NULL;NULL;NULL; NIPS. ; Touretzky, D. S. (ed), ;NULL;NULL;NULL
278; Fahlman, S. E & Lebiere, C. ; The Cascade-Correlation Architecture. ;NULL; Vol 2 ;NULL;1990; Morgan Kaufmann. ; San Mateo, CA: ;NULL;In Advances in Neural Information Processing Systems  ; Touretzky, D. S. (Ed). ;NULL;NULL;NULL
279; Fahlman, S. E & Lebiere, C. ; The Cascade-Correlation Architecture.  ;NULL; Vol 2 ;NULL;1990; Morgan Kaufmann. ; San Mateo, CA: ;NULL; In Advances in Neural Information Processing Systems  ; Touretzky, D. S. (Ed). ;NULL;NULL;NULL
280; Fahlman, S. E & Lebiere, C. ; The cascade correlation architecture. ;NULL;2; 524-532 ;1990;NULL;NULL;NULL; Advances in 43 Neural Information Processing Systems ;NULL;NULL;NULL;NULL
281; Fahlman, S. E & Lebiere, C. ; The cascade correlation architecture. ;NULL;2; 524-532 ;1990;NULL;NULL;NULL; Advances in Neural Information Processing Systems ;NULL;NULL;NULL;NULL
282; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL; Vol 2) ;NULL;1990; Morgan Kaufmann. ; San Mateo, CA: ;NULL; In Advances in Neural Information Processing Systems ; D. S. Touretzky (Ed.) ;NULL;NULL;NULL
283; Fahlman, S. E & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL; Vol 2) ;NULL;1990; Morgan Kaufmann. ; San Mateo, CA: ;NULL; In Advances in Neural Information Processing Systems  ; D. S. Touretzky (Ed.) ;NULL;NULL;NULL
284; Fahlman, S. E., & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;2;NULL;1990; Morgan Kaufmann. ;NULL;NULL; In Advances in Neural Information Processing Systems;NULL;NULL;NULL;NULL
285; Fahlman, S. E., & Lebiere, C. ; The cascade-correlation learning architecture. ;NULL;2; pp 524-532 ;1990; Morgan Kaufmann, ; San Mateo, CA. ;NULL; Advances in Neural Information Processing Systems ; In Touretzky, D. S. (Ed.), ;NULL;NULL;NULL
